Category,Packaging Type,MOQ,Lead Time (Days),Formulation Capability,Notes
Skincare,Glass Dropper Bottle 30ml,500,30,Custom Serums & Oils,"Premium glass. Cap options: gold, silver, matte black."
Skincare,Airless Pump Bottle 50ml,1000,45,Lotions & Creams,Preserves active ingredients longer.
Skincare,PET Plastic Jar 100g,1000,20,Creams & Scrubs,Shatterproof and cost-effective.
Haircare,Aluminum Bottle 250ml,2000,40,Shampoos & Conditioners,Eco-friendly and infinitely recyclable.
Haircare,Squeeze Tube 150ml,1500,25,Conditioners & Masks,Matte and glossy finish options.
Makeup,Lip Gloss Tube 5ml,3000,35,Lip Gloss & Oils,Includes doe-foot applicator.
Makeup,Compact Powder Case,2000,50,Pressed Powders,Includes mirror and puff.
Bodycare,Body Wash PET Bottle 500ml,1000,20,Body Wash & Shower Gels,Pump dispenser included.
Bodycare,Glass Jar 200g,500,35,Body Butter & Scrubs,Heavy wall glass for premium feel.
Fragrance,Glass Spray Bottle 50ml,1000,45,Perfumes & Body Mists,Fine mist sprayer.
Skincare,Rollerball Bottle 10ml,2000,30,Eye Serums & Spot Treatments,Stainless steel or glass rollerball.
Skincare,Sample Sachet 5ml,5000,15,Serums & Lotions,Foil lined for freshness. Ideal for sampling.
Haircare,PET Spray Bottle 150ml,1000,20,Leave-in Conditioners & Heat Protectants,Trigger spray or fine mist.
Bodycare,Deodorant Stick Tube 50g,2000,40,Solid Deodorants,Bottom dial mechanism.
